Task ID,Title,Description,Created_date,Created_by,Due_date,Task_priority,Status
lf8gjD,study,complete recursion playlist,2024-12-15,Rohith Reddy Bairi,2024-12-16,OVERDUE,Not Started
FmHwpm,home,do laundry,2024-12-15,Rohith Reddy Bairi,2024-12-19,Critical,Not Started
H9K6I8,study,complete dynamic programming playlist,2024-12-16,Rohith,2024-12-25,High Priority, In Progress
7II0Nf,resume,complete Azure data engineering resume today,2024-12-17,Rohith Reddy Bairi,2024-12-17,Critical,In Progress
3dWejr,resume,remind padma for samples and send the updated resume,2024-12-17,Rohith Reddy Bairi,2024-12-17,Critical,In Progress
h72VSJ,study,complete hive and oozie along with notes today,2024-12-17,Rohith Reddy Bairi,2024-12-17,Critical,In Progress
ETzUOV,study,complete hive and mapReduce today,2024-12-17,Rohith Reddy Bairi,2024-12-17,Critical,In Progress
